attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,15769
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,3298
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2802
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,4458
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,6273
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,3336
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,3436
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,34516
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,5926
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,23957
Existing Customer,53,M,2,High School,Single,$120K +,Blue,14734
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,34516
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,6584
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,2084
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,1687
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,25300
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,34516
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,2216
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,2910
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,22913
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,24312
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,5272
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,7000
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,7038
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,2536
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,28904
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,8567
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,34516
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,2158
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,10133
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,34516
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,3085
Existing Customer,53,M,2,High School,Single,$120K +,Blue,19040
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,4026
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,12756
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,5266
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,9930
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,31302
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,6576
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,2664
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,2535
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,1709
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,3454
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,3789
Existing Customer,56,M,3,College,Married,$120K +,Blue,9689
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,5449
Existing Customer,49,F,3,College,Single,Unknown,Blue,23032
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34516
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,2940
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,3031
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,1862
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,8358
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,34516
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,14450
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,1438.3
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,33791
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,8466
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,15088
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,3263
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,1494
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,13551
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,18886
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,11976
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,9964
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,24159
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,5362
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,34516
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,3174
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,12262
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,3788
Existing Customer,55,M,2,College,Single,$120K +,Silver,34516
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,2926
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,32090
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,11669
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,13532
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,11888
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,2393
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,6111
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,19270
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,3710
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,3235
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,11749
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,7753
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,10408
Existing Customer,63,F,1,College,Married,Unknown,Blue,3967
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,6205
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,8025
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,9036
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,14926
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,6335
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,14979
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,2732
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,2250
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,10916
Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,5349
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,9366
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,21617
Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,13860
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,18386
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,2405
Existing Customer,53,F,1,College,Married,Less than $40K,Blue,2154
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,2038
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,8135
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,9364
Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,32643
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,3195
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,2852
Existing Customer,59,F,1,College,Single,Unknown,Blue,4224
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,20459
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,3482
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,3065
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,2185
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,1611
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,2822
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,32975
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,1438.3
Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,15875
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,6703
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,3212
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,34516
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,9797
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,10400
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,26792
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,3006
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,19482
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,3356
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,5771
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,11106
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,2890
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,3380
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,21331
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,12860
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,6278
Existing Customer,60,F,0,College,Single,Less than $40K,Blue,1438.3
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,9355
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,20758
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,14612
Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27259
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,6347
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,21592
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,3449
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,6028
Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,18214
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,16393
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,1438.3
Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,7871
Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,5288
Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,11376
Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,12302
Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,34516
Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,34516
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,10514
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,1438.3
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,1438.3
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,2619
Existing Customer,58,M,2,College,Married,$120K +,Blue,24407
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,2377
Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,34516
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,11086
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,11432
Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,13258
Existing Customer,48,M,2,College,Single,Less than $40K,Blue,2571
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,5781
Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,7872
Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,34516
Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,11127
Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,1857
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,1913
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,3839
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,2115
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,1438.3
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,27756
Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,1438.3
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,13878
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,3106
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,34516
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,1438.3
Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,18871
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,5207
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,17965
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,2733
Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,8863
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,1857
Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,34516
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,11107
Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,21573
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,2859
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,5269
Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,1438.3
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,3387
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,1982
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,4645
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,2189
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,2442
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,21304
Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,7577
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,3234
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,4469
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,2910
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,3616
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,3252
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,2358
Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,22322
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,3133
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,3540
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,6990
Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,34516
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,1438.3
Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,24396
Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,2474
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,5214
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,5207
Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,9512
Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,3187
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,3353
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,2290
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,5279
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,23603
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,2601
Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,6363
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,8029
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,2410
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,3401
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,2260
Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,17682
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,4206
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,34516
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,23018
Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,5556
Attrited Customer,54,F,2,High School,Married,Unknown,Blue,6094
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,2939
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,5362
Attrited Customer,48,M,2,High School,Married,$120K +,Blue,27126
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,3342
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,2532
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,1900
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,14546
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,2521
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,16427
Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,13068
Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,23218
Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,3281
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,3096
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,2052
Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,1438.3
Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,9432
Existing Customer,50,M,0,High School,Single,$120K +,Silver,14938
Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,2221
Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,5731
Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,34516
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,6985
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,24221
Existing Customer,36,F,3,High School,Married,Unknown,Blue,15439
Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,21637
Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,14543
Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue,9684
Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,5007
Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,1616
Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,19116
Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,2759
Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,8249
Existing Customer,38,F,2,Graduate,Single,Unknown,Blue,14041
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,5264
Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,2420
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue,2826
Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue,12518
Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue,5876
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver,34516
Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue,9648
Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver,34516
Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue,3025
Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,3265
Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,6041
Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,2293
Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,13399
Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue,4317
Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,3378
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,5012
Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue,2569
Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,3471
Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver,34516
Existing Customer,53,M,1,High School,Married,$120K +,Blue,3312
Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue,2578
Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,2902
Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,2742
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,2077
Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue,6265
Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,7819
Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue,2731
Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue,1438.3
Existing Customer,54,M,0,High School,Married,$80K - $120K,Blue,16286
Existing Customer,49,M,1,Graduate,Married,$120K +,Blue,34516
Existing Customer,58,F,3,High School,Married,Less than $40K,Blue,2609
Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,7567
Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue,22770
Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue,3791
Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue,2702
Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,2555
Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,2355
Existing Customer,53,F,2,Graduate,Single,$40K - $60K,Blue,5332
Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue,1443
Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,10741
Existing Customer,41,M,1,Uneducated,Married,$60K - $80K,Blue,7984
Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue,18584
Existing Customer,61,F,0,Graduate,Married,Unknown,Blue,5585
Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue,34516
Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,1438.3
Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue,2478
Existing Customer,51,M,4,High School,Single,$120K +,Blue,34516
Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue,2339
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,2726
Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,14881
Existing Customer,36,F,4,Graduate,Married,$40K - $60K,Blue,1628
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,3156
Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,4745
Existing Customer,46,M,2,High School,Married,$120K +,Blue,19727
Existing Customer,52,M,0,Uneducated,Married,$60K - $80K,Blue,22720
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,8129
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue,3751
Existing Customer,54,F,4,High School,Married,Less than $40K,Blue,1594
Existing Customer,55,F,1,High School,Single,Less than $40K,Blue,2569
Existing Customer,49,F,4,Post-Graduate,Single,Unknown,Blue,18206
Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue,3104
Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue,2406
Existing Customer,63,M,1,Uneducated,Married,$80K - $120K,Blue,24571
Existing Customer,40,F,3,High School,Single,Less than $40K,Gold,15534
Existing Customer,41,F,2,Graduate,Married,Less than $40K,Silver,12301
Existing Customer,37,M,4,Graduate,Married,$80K - $120K,Blue,2846
Existing Customer,58,M,2,Uneducated,Unknown,$120K +,Blue,9788
Existing Customer,55,M,2,High School,Married,$60K - $80K,Blue,7231
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,2324
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,12208
Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,5639
Existing Customer,58,M,1,Graduate,Married,$60K - $80K,Blue,10021
Existing Customer,64,M,0,Unknown,Married,Less than $40K,Blue,2215
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,2027
Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,6363
Existing Customer,39,F,3,College,Single,Less than $40K,Blue,3920
Existing Customer,56,M,3,High School,Married,$60K - $80K,Blue,9226
Existing Customer,54,F,4,Unknown,Divorced,Less than $40K,Blue,9376
